imdbid,rating
0088461,7.1
0809533,6.6
0421528,6.6
1600383,6.9
0306432,6.2
0115462,6.8
0461826,5.2
1186830,7.1
2494384,5.2
1477171,6.7
0050116,6.3
0271972,3.9
1597522,5.3
0068232,5.8
3896100,5.8
1971325,6.0
0146468,7.1
1629705,6.5
0092693,7.3
2404738,6.4
1206285,7.4
7485508,7.0
1242422,7.6
1235830,7.2
0255067,7.2
4857264,8.0
1480656,5.1
0422015,7.3
0264508,6.2
0112922,7.3
1111890,5.7
1618390,2.6
6908274,7.4
1243375,6.1
1937149,7.6
1525915,6.2
8228288,7.0
3655972,6.8
0464141,7.4
1103193,6.1
0086104,6.8
0087913,6.3
1588895,6.7
0807054,7.0
0162556,6.4
0085496,6.5
2515030,6.5
0256009,7.4
2046090,5.0
0422272,6.0
0082424,6.5
0430164,6.8
1263750,6.1
3532278,6.8
0291988,7.4
0110490,5.6
1161411,4.8
1077084,5.0
1838571,6.4
4326444,7.1
0107315,6.5
4729430,8.1
0449144,5.0
1016301,6.6
3253930,7.2
0116770,4.5
5176252,6.2
0456111,7.1
0111549,5.7
0896986,6.4
6708044,5.8
1764625,5.9
0067637,5.2
1022606,7.0
1650555,6.0
0480669,7.1
1512685,6.7
0222368,5.8
0476298,6.8
3089326,7.2
1185376,5.9
0780565,6.6
0151691,7.5
1437358,7.2
0082748,6.0
1221141,6.5
0039650,6.3
0113918,6.9
0348853,6.3
4698584,6.8
2093990,6.4
0071431,6.8
2955316,6.5
0062082,6.3
2872724,4.7
0477311,6.2
0073518,6.0
0081323,6.1
0062113,7.1
0762125,6.0
3521332,6.5
1245112,6.5
1649444,5.0
0460897,5.7
3011894,8.1
0093840,5.7
0374180,5.2
0088040,8.1
1629377,6.4
1078600,5.7
0283015,5.3
0044092,7.5
0103030,7.0
1486192,6.4
0800241,6.6
0061576,6.2
3577624,6.8
0066380,5.3
5862312,6.2
2896036,7.0
1847746,6.7
0995829,7.0
2388821,5.5
